benchmark,expected
oc8051gm64pc,unknown
oc8051gm68addr,unknown
oc8051gm6dpc,unknown
oc8051gm7daddr,unknown
oc8051gm81pc,unknown
oc8051gm88iram,unknown
oc8051gm8apc,unknown
oc8051gm95pc,unknown
oc8051gm98addr,proved
oc8051gm9ddata,unknown
oc8051gma4pc,unknown
oc8051gma6data,proved
oc8051gmadacc,unknown
oc8051gmb6acc,unknown
oc8051gmb8addr,unknown
oc8051gmbfpc,unknown
oc8051gmc5addr,unknown
oc8051gmc6data,proved
oc8051gmcadata,unknown
oc8051gmcciram,unknown
oc8051gmd7acc,unknown
oc8051gmdaaddr,unknown
oc8051gme0pc,unknown
oc8051gme2addr,unknown
oc8051gme5iram,unknown
oc8051gmecacc,unknown
oc8051gmf2iram,unknown
oc8051gmfbaddr,unknown
oc8051topo08,refuted
oc8051xiommuo5,proved
oski15a01b00s,unknown
oski15a01b57s,refuted
oski15a07b0s,unknown
oski15a08b00s,unknown
oski15a08b08s,refuted
oski15a10b02s,unknown
oski15a14b22s,unknown
pcip1,refuted
pdtfifo1to0,proved
pdtpmsarbiter,proved
pdtpmsretherrtf,unknown
pdtpmsrotate32,proved
pdtpmss1269b,proved
pdtpmsusbphy,proved
pdtswvibs8x8p0,refuted
pdtswvtma6x4p1,proved
pdtswvtma6x6p3,proved
pdtvisblackjack0,proved
pdtvisgigamax4,proved
pdtvisgray0,proved
pdtvishuffman1,proved
pdtvisns2p3,proved
pdtvisrethersqo0,proved
pdtvisvending00,proved
pj2010,proved
pj2016,proved
power2bit128,proved
prodcellp4,refuted
productioncellp0,refuted
ringp0,refuted
shift1add262144,unknown
srg5ptimo,refuted
texasifetch1p1,proved
texasifetch1p8,refuted
texasparsesysp2,proved
texasparsesysp3,refuted
texaspimainp01,proved
vis4arbitp1,proved
visarbiter,proved
viselevatorp1,proved
viselevatorp2,refuted
visemodel,proved
visprodcellp01,proved
